{'C': 0.01, 'kernel': 'linear'}0.5895684675501189
{'C': 0.1, 'kernel': 'linear'}0.6431532449881074
{'C': 1, 'kernel': 'linear'}0.609887869520897
{'C': 10, 'kernel': 'linear'}0.6061162079510704
{'C': 100, 'kernel': 'linear'}0.6061162079510704
{'C': 0.01, 'degree': 2, 'kernel': 'poly'}0.5266055045871559
{'C': 0.01, 'degree': 3, 'kernel': 'poly'}0.5100917431192661
{'C': 0.1, 'degree': 2, 'kernel': 'poly'}0.5766564729867483
{'C': 0.1, 'degree': 3, 'kernel': 'poly'}0.5545361875637106
{'C': 1, 'degree': 2, 'kernel': 'poly'}0.615409446143391
{'C': 1, 'degree': 3, 'kernel': 'poly'}0.5988956846755011
{'C': 10, 'degree': 2, 'kernel': 'poly'}0.619096160380564
{'C': 10, 'degree': 3, 'kernel': 'poly'}0.6172952769283044
{'C': 100, 'degree': 2, 'kernel': 'poly'}0.6264525993883792
{'C': 100, 'degree': 3, 'kernel': 'poly'}0.6172782874617738
{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}0.5027522935779817
{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}0.5522935779816514
{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}0.5321100917431193
{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}0.5302752293577981
{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}0.5027522935779817
{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}0.6245158002038736
{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}0.6061841658171934
{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}0.5302752293577981
{'C': 1, 'gamma': 1, 'kernel': 'rbf'}0.5064559972816853
{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}0.6468059802922188
{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}0.5969758749575264
{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}0.6246347264695888
{'C': 10, 'gamma': 1, 'kernel': 'rbf'}0.5064559972816853
{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}0.6375297315664288
{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}0.628304451240231
{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}0.5988277268093782
{'C': 100, 'gamma': 1, 'kernel': 'rbf'}0.5064559972816853
{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}0.6375297315664288
{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}0.6246347264695888
{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}0.6338939857288481
{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}0.5064559972816853
{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}0.6375297315664288
{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}0.6209480122324159
{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}0.6080020387359836
